,Reporting Period,Utility,Accounts,Accounts Disconnected,Account Disconnection Rate,Accounts Disconnected between 24 and 48 Hours,Accounts Reconnected in <24 Hours,Accounts Disconnected for >48 Hours,Accounts Disconnected Multiple Times,Accounts Notified Before Disconnection,Accounts in 30+ Day Arrears,Accounts in 30-60 Day Arrears,Accounts in 60+ Day Arrears,Percentage of Accounts in 30-60 Day Arrears,Percentage of Accounts in 60+ Day Arrears,Percentage of Accounts in 30+ Day Arrears,Average Balance of 30-60 Day Arrears,Average Balance of 60+ Day Arrears,Average Balance of 30+ Day Arrears,Total Balance of 30+ Day Arrears,Total Balance of 30-60 Day Arrears,Total Balance of 60+ Day Arrears,Accounts Past Due or Delinquent,Percentage of Accounts Past Due or Delinquent,Accounts on Repayment Plans,Accounts in Good Standing on Repayment Plans,Average Balance of Repayment Plans,Total Balance of Repayment Plans,Vulnerable Accounts,Vulnerable Accounts Disconnected
81,2022-05-01,Duke Energy Progress,1287787.0,1379.0,0.0010708292598077,,584.0,,,,,,,,,,,,,,,,215245.0,0.1671433241677389,50514.0,50514.0,825.050461258265,41676599.0,,
82,2022-05-01,Dominion Energy,106300.0,202.0,0.0019002822201317,,69.0,,,,,,,,,,,,,,,,18437.0,0.1734430856067733,6683.0,6683.0,1322.3440356127487,8837225.19,,
83,2022-05-01,Duke Energy Carolinas,1828553.0,3872.0,0.0021175213406447,,1616.0,,,,,,,,,,,,,,,,359311.0,0.1965001834784116,77535.0,77535.0,787.968659315148,61095150.0,,
84,2022-04-01,Duke Energy Progress,1285428.0,179.0,0.0001392532292746,,68.0,,,,,,,,,,,,,,,,231680.0,0.1802356880354247,57452.0,57452.0,864.308205110353,49656235.0,,
85,2022-04-01,Dominion Energy,106273.0,183.0,0.0017219801831133,,86.0,,,,,,,,,,,,,,,,18654.0,0.1755290619442379,7050.0,7050.0,1380.692765957447,9733884.0,,
86,2022-04-01,Duke Energy Carolinas,1826140.0,157.0,8.597369314510388e-05,,76.0,,,,,,,,,,,,,,,,383278.0,0.2098842366959817,88165.0,88165.0,789.5356547382748,69609411.0,,
87,2022-03-01,Dominion Energy,106249.0,258.0,0.0024282581483119,,112.0,,,,,,,,,,,,,,,,18720.0,0.1761898935519393,7017.0,7017.0,1351.2518925466725,9481734.53,,
88,2022-03-01,Duke Energy Carolinas,1824835.0,426.0,0.0002334457635895,,190.0,,,,,,,,,,,,,,,,381323.0,0.2089630021344395,76042.0,76042.0,736.6122011519949,56013465.0,,
89,2022-03-01,Duke Energy Progress,1284168.0,81.0,6.307585923337133e-05,,41.0,,,,,,,,,,,,,,,,206142.0,0.1605257256059954,46353.0,46353.0,656.7306323215325,30441435.0,,
90,2022-02-01,Duke Energy Carolinas,1822162.0,940.0,0.0005158707074343,,456.0,,,,,,,,,,,,,,,,355622.0,0.1951648645949152,76706.0,76706.0,675.6222199045707,51824278.0,,
91,2022-02-01,Duke Energy Progress,1282379.0,9.0,7.0182060061807e-06,,5.0,,,,,,,,,,,,,,,,185058.0,0.1443083518990875,43107.0,43107.0,598.5276405224209,25800731.0,,
92,2022-02-01,Dominion Energy,106211.0,136.0,0.0012804700078146,,55.0,,,,,,,,,,,,,,,,17817.0,0.1677509862443626,6943.0,6943.0,1296.651944404436,9002654.45,,
93,2022-01-01,Duke Energy Progress,1280333.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,183293.0,0.1431604121740203,44623.0,44623.0,494.8933285525402,22083625.0,,
